,nombre,renta_media_disponible,Codigo_postal
546, Ibiza Niño Jesús ,43.579,28009
547, Almagro ,52.371,28010
548, Latina ,23.71,28011
549, Embajadores ,26.084,28012
550, Centro ,41.074,28013
551, Retiro ,47.422,28014
552, Universidad ,34.058,28015
553, Hispanoamerica Costillares ,53.306,28016
554, Ventas Ciudad Lineal La Elipa ,22.249,28017
555, Palomeras ,20.388,28018
556, Opañel Comillas San Isidro ,21.948,28019
557, Valdeacederas ,35.868,28020
558, Villaverde S. Cristóbal de Los Ángeles ,20.038,28021
559, San Blas ,27.807,28022
560, Aravaca ,72.911,28023
561, Campamento ,23.267,28024
562, Carabanchel Abrantes ,20.468,28025
563, Usera ,20.169,28026
564, San Juan Bautista ,29.628,28027
565, Guindalera Fuente El Berro ,33.828,28028
566, Tetuán Barrio Del Pilar ,26.684,28029
567, Moratalaz ,25.617,28030
568, Villa Vallecas Santa Eugenia ,23.015,28031
569, Vicalvaro  Valdebernardo ,24.819,28032
570, Hortaleza Pinar Del Rey ,32.682,28033
571, Tres Olivos ,38.463,28034
572, Fuencarral ,47.297,28035
573, Nueva España ,68.838,28036
574, San Blas ,22.163,28037
575, Pavones ,19.58,28038
576, Bellas Vistas Valdeacederas ,24.316,28039
577, Ciudad Universitaria ,38.885,28040
578, Orcasitas San Fermín ,21.106,28041
579, Barajas La Alameda de Osuna ,36.627,28042
580, Hortaleza Canillas ,42.059,28043
581, Cuatrovientos ,21.878,28044
582, Delicias ,29.53,28045
583, Castilla  Chamartín ,55.947,28046
584, Aluche Vista Alegre ,22.744,28047
585, Fuencarral El Pardo ,25.234,28048
586, El Goloso ,42.914,28049
587, Las Tablas ,40.349,28050
588, Villa de Vallecas ,25.496,28051
589, El Cañaveral ,24.004,28052
590, Entrevías Puente de Vallecas ,18.049,28053
591, Buenavista La Fortuna ,26.828,28054
592, Valdebebas Valdefuentes ,45.287,28055
593,resto Madrid,28.957,280
594, Móstoles ,21.324,28092
595, Av. Portugal Parque Cuartel Huerta ,19.119,28931
596, Av. Alcalde Mostoles Av. Portugal ,22.684,28932
597, A5 Av. Portugal ,22.782,28933
598, Casco Antiguo ,18.902,28934
599, Móstoles El Soto ,22.811,28935
600, Av. Carlos V Av. Onu Osa Mayor ,20.963,28936
601, Ávila Castellón Libertad ,19.773,28937
602, P.I. Arroyomolinos R5 ,21.456,28938
603,resto Móstoles,19.922,2893
604, Pozuelo de Alarcón ,60.263,28115
605, Somosaguas Humera ,71.3,28223
606, Pozuelo de Alarcón ,47.35,28224
607,resto Pozuelo de Alarcón,59.384,2822
608, Las Rozas ,39.555,28127
609, El Burgo ,34.252,28231
610, La Chopera Európolis ,43.588,28232
611, Las Matas ,41.367,28290
612,resto Las Rozas,42.596,2820
613, Cartagena ,22.009,30016
614, Parque Arqueológico Cerro Del Molinete ,29.948,30201
615, Los Grifos ,21.744,30202
616, San Ginés ,21.956,30203
617, Ensanche ,24.718,30204
618, Algameca ,24.077,30205
619, Peral ,19.771,30300
620, Los Dolores ,21.039,30310
621, Miranda ,22.875,30319
622, Albujón ,17.25,30330
623, El Algar ,17.633,30366
624, Cabo de Palos ,25.7,30370
625, La Manga ,22.492,30380
626, Los Belones Las Barracas ,18.52,30385
627, La Aljorra ,17.256,30390
628, Galifa El Portús ,21.062,30393
629, Canteras Tentengorra ,25.829,30394
630, La Puebla ,20.384,30395
631, Los Conesas La Palma Los Salazares ,19.537,30593
632, Pozo Estrecho ,20.193,30594
633,resto Cartagena,19.067,305
634, Murcia ,23.077,30030
635, La Catedral San Bartolomé ,37.385,30001
636, El Carmen Buenos Aires ,24.053,30002
637, Sta. Eulalia San Juan Vistabella ,23.161,30003
638, San Antolín San Pedro Sta. Catalina ,34.231,30004
639, San Andrés San Nicolás ,30.376,30005
640, Puente Tocinos ,19.839,30006
641, Zarandona ,28.218,30007
642, La Fama ,33.959,30008
643, La Albatalia San Antón San Basilio Sta. María de Gracia ,26.009,30009
644, La Purísima Barriomar San Pío X ,20.753,30010
645, Los Dolores ,23.106,30011
646, San Benito Patiño Progreso ,19.591,30012
647, El Puntal ,24.113,30100
648, Guadalupe ,26.205,30107
649, Cabezo de Torres ,22.242,30110
